id|fuente|fecha_creacion|id_autor|sensible|idioma|cant_retweets|cant_respuestas|cant_likes
1466890756589862917|Twitter for Android|2021-12-03 22:03:04+00:00|883751509284052994|False|es|48|0|0
1466890747584602121|Twitter for Android|2021-12-03 22:03:02+00:00|706681392294330368|False|es|165|0|0
1466890743507832838|TweetDeck|2021-12-03 22:03:01+00:00|201493641|False|es|3|5|8
1466890741414653953|Twitter for Android|2021-12-03 22:03:00+00:00|1895043133|False|es|0|1|0
1466890740609400832|Twitter for iPhone|2021-12-03 22:03:00+00:00|1154096344979693568|False|es|825|0|0
1466890740441698310|Twitter for Android|2021-12-03 22:03:00+00:00|1385370330131222529|False|es|0|5|1
1466890740290699267|Twitter Web App|2021-12-03 22:03:00+00:00|1314694976912134144|False|es|10|0|0
1466890735920156674|Twitter for Android|2021-12-03 22:02:59+00:00|744718670195232768|False|es|1899|0|0
1466890734255190024|Twitter for Android|2021-12-03 22:02:59+00:00|581508655|False|es|0|0|0
1466890731818209285|Twitter for iPhone|2021-12-03 22:02:58+00:00|239527612|False|es|4|0|0
1466890724713062413|Twitter for Android|2021-12-03 22:02:56+00:00|143987798|False|es|7|0|0
1466890724297768961|Twitter for Android|2021-12-03 22:02:56+00:00|1044727912816087040|False|es|0|0|0
1466890721512853510|Twitter Web App|2021-12-03 22:02:56+00:00|26043076|False|ca|0|0|0
1466890717956038659|Twitter for Android|2021-12-03 22:02:55+00:00|1301822076471443456|False|es|0|0|1
1466890715234017288|Twitter for Android|2021-12-03 22:02:54+00:00|715647891608584196|False|es|2|0|16
1466890713996615680|Twitter for Android|2021-12-03 22:02:54+00:00|1105095597017714688|False|es|0|0|2
1466890713468182534|Twitter for Android|2021-12-03 22:02:54+00:00|1207047193267507200|False|es|259|0|0
1466890708518797314|Twitter for Android|2021-12-03 22:02:53+00:00|1183571043866333184|False|es|0|0|0
1466890702151770113|Twitter for Android|2021-12-03 22:02:51+00:00|1186470375187722240|False|es|0|1|0
1466890699647991812|Twitter for Android|2021-12-03 22:02:50+00:00|1099876293565444096|False|es|1|1|2
1466890694308552707|Twitter|2021-12-03 22:02:49+00:00|1324731864645554176|False|es|0|0|0
1466890691934625800|SURDeporteNoticias|2021-12-03 22:02:49+00:00|531488241|False|es|1|0|0
1466890685710143490|Twitter for Android|2021-12-03 22:02:47+00:00|1225309074012745728|False|es|771|0|0
1466890685030838275|Twitter for Android|2021-12-03 22:02:47+00:00|1397032901846478849|False|es|771|0|0
1466890683386576896|Memedeportes|2021-12-03 22:02:47+00:00|599175401|False|es|37|2|139
1466890679884423169|Twitter for Android|2021-12-03 22:02:46+00:00|1111007887751565314|False|es|0|0|0
1466890672359849988|Twitter for Android|2021-12-03 22:02:44+00:00|636748547|False|en|0|0|1
1466890668924620804|Twitter for Android|2021-12-03 22:02:43+00:00|1208807716006830081|False|es|1|2|12
1466890653951053832|Twitter Web App|2021-12-03 22:02:40+00:00|1058499771860692994|False|es|0|0|2
1466890650671005704|Twitter for iPhone|2021-12-03 22:02:39+00:00|46754433|False|tr|1803|0|0
1466890645482524675|Twitter for Android|2021-12-03 22:02:38+00:00|169213384|False|es|771|0|0
1466890641619755013|Twitter for Android|2021-12-03 22:02:37+00:00|2922425597|False|es|0|1|1
1466890636460756994|Twitter for Android|2021-12-03 22:02:35+00:00|636548753|False|es|4|0|0
1466890618144055300|Twitter for iPhone|2021-12-03 22:02:31+00:00|159387208|False|es|155|0|0
1466890612414763015|Twitter for Android|2021-12-03 22:02:30+00:00|1193187039468015621|False|es|5|0|0
1466890612377112587|Twitter Web App|2021-12-03 22:02:30+00:00|45748521|False|es|0|0|1
1466890608065265666|Twitter for Android|2021-12-03 22:02:29+00:00|209640699|False|es|137|0|0
1466890603585847298|Twitter Web App|2021-12-03 22:02:28+00:00|855853674710663170|False|es|8|0|0
1466890602684063747|Twitter for iPhone|2021-12-03 22:02:27+00:00|3092484399|False|tr|0|0|0
1466890595427831808|Twitter for iPhone|2021-12-03 22:02:26+00:00|1026188843375112199|False|es|807|0|0
1466890593758593028|Twitter for Android|2021-12-03 22:02:25+00:00|2353309877|False|es|0|0|0
1466890581225914368|Twitter Web App|2021-12-03 22:02:22+00:00|45483589|False|es|2|0|0
1466890576943632387|Twitter for iPhone|2021-12-03 22:02:21+00:00|3152484502|False|es|1|2|11
1466890572095008774|Twitter Web App|2021-12-03 22:02:20+00:00|1417897064382427138|False|es|5|0|0
1466890569419046913|Twitter Web App|2021-12-03 22:02:19+00:00|1247987508304130050|False|ca|35|0|0
1466890569167343623|Twitter for iPhone|2021-12-03 22:02:19+00:00|1263032582|False|tr|0|0|0
1466890562435485697|Twitter for iPhone|2021-12-03 22:02:18+00:00|1181271454329036801|False|es|58|0|0
1466890561005178880|Twitter for Android|2021-12-03 22:02:17+00:00|186523405|False|es|71|0|0
1466890556542492678|Twitter for iPhone|2021-12-03 22:02:16+00:00|1126194956|False|es|845|0|0
1466890548128534528|Twitter for Android|2021-12-03 22:02:14+00:00|2296379731|False|es|93|0|0
1466890540717379587|Twitter for iPhone|2021-12-03 22:02:13+00:00|2448954337|True|en|874|0|0
1466890535428411392|Twitter for iPhone|2021-12-03 22:02:11+00:00|2791226631|False|es|4|0|0
1466890530776834059|Twitter for Android|2021-12-03 22:02:10+00:00|1360805118|False|es|258|0|0
1466890522312773640|Twitter for iPhone|2021-12-03 22:02:08+00:00|1415696422670852103|False|es|149|0|0
1466890517686493197|Twitter for Android|2021-12-03 22:02:07+00:00|104887377|False|ca|63|0|0
1466890514121252870|Twitter for iPhone|2021-12-03 22:02:06+00:00|722365624320659456|False|tr|29|0|0
1466890510249959427|Twitter for Android|2021-12-03 22:02:05+00:00|1313110042002944000|False|es|4054|0|0
1466890508194701331|TweetDeck|2021-12-03 22:02:05+00:00|148372339|False|es|2|3|4
1466890507460689920|Twitter for Android|2021-12-03 22:02:05+00:00|411672322|False|es|244|0|0
1466890505485275141|Twitter for Android|2021-12-03 22:02:04+00:00|1350141704926597122|False|es|0|0|1
1466890501957820422|Twitter for Android|2021-12-03 22:02:03+00:00|1384943575209754628|False|es|105|0|0
1466890501601173506|Twitter for iPhone|2021-12-03 22:02:03+00:00|120241315|False|es|2|0|0
1466890500506636288|Twitter for Android|2021-12-03 22:02:03+00:00|175779126|False|es|9|0|0
1466890499206254595|Twitter for Android|2021-12-03 22:02:03+00:00|154186809|False|es|0|0|1
1466890497717420034|Twitter for Android|2021-12-03 22:02:02+00:00|1208807716006830081|False|es|0|0|2
1466890480424296451|Twitter for Android|2021-12-03 22:01:58+00:00|90289714|False|es|187|0|0
1466890474443227147|Twitter for iPhone|2021-12-03 22:01:57+00:00|4753536481|False|es|0|0|1
1466890469003120641|Besocy_Oficial|2021-12-03 22:01:55+00:00|15580894|False|es|1|0|2
1466890462451671044|Twitter Web App|2021-12-03 22:01:54+00:00|59833562|False|es|0|0|1
1466890460941668358|Wildmoka|2021-12-03 22:01:54+00:00|127852773|False|es|1|1|3
1466890460627099653|Twitter for iPhone|2021-12-03 22:01:53+00:00|220276714|False|tr|3|0|0
1466890460438355973|Twitter for Android|2021-12-03 22:01:53+00:00|2546604474|False|es|825|0|0
1466890456659234822|Twitter for Android|2021-12-03 22:01:53+00:00|878427038666850304|False|es|0|0|2
1466890451227746308|Twitter for iPhone|2021-12-03 22:01:51+00:00|438401971|False|es|0|0|0
1466890447343677440|Twitter for Android|2021-12-03 22:01:50+00:00|2828626997|False|es|771|0|0
1466890441773756427|Twitter for iPhone|2021-12-03 22:01:49+00:00|145824740|False|es|165|0|0
1466890440410599428|Twitter for iPhone|2021-12-03 22:01:49+00:00|1355567824513757192|False|es|11|0|0
1466890430864261126|Twitter for iPhone|2021-12-03 22:01:46+00:00|109407138|False|es|147|0|0
1466890430377771010|Twitter for Android|2021-12-03 22:01:46+00:00|1318665693986983936|False|es|81|0|0
1466890428003889154|Twitter Web App|2021-12-03 22:01:46+00:00|348114706|False|tr|0|1|1
1466890421628510214|Twitter for Android|2021-12-03 22:01:44+00:00|35132116|False|es|1|0|0
1466890418390548489|Twitter for iPhone|2021-12-03 22:01:43+00:00|293686276|False|es|771|0|0
1466890416255639554|Twitter for iPhone|2021-12-03 22:01:43+00:00|359247601|False|tr|1803|0|0
